"","SAMPLE_NUMBER","NAME","ENTRY.y","C: 10_0","C: 10_1 w1 cis","C: 11_0","C: 12_0","C: 12_1 w3 cis","C: 12_1 w6 cis","C: 12_1 w9 cis","C: 14_0","C: 14_0 iso","C: 14_1 w5 cis","C: 15_0","C: 15_0 ante-iso","C: 15_1 w5 cis","C: 16_0","C: 16_0 iso","C: 16_1 trans","C: 16_1 trans+ (Raw)","C: 16_1 trans++ (Raw)","C: 16_1 trans+++ (Raw)","C: 16_1 trans++++ (Raw)","C: 16_1 w7 cis","C: 17_0","C: 17_0 ante-iso","C: 17_0 iso","C: 17_1 w7 cis","C: 18_0","C: 18_0 iso","C: 18_1 cis","C: 18_1 cis++ (Raw)","C: 18_1 cis+++ (Raw)","C: 18_1 trans","C: 18_1 trans++ (Raw)","C: 18_1 trans+++ (Raw)","C: 18_1 w9 cis+ (Raw)","C: 18_1 w9 trans+ (Raw)","C: 18_2 cis9 trans12","C: 18_2 conj","C: 18_2 trans9 cis12","C: 18_2 w6 cis","C: 18_2 w6 trans","C: 18_3 trans","C: 18_3 trans+ (Raw)","C: 18_3 trans++ (Raw)","C: 18_3 trans+++ (Raw)","C: 18_3 w3 cis","C: 18_3 w6 cis","C: 18_4 w3","C: 20_0","C: 20_1 w9 cis","C: 20_2 w6 cis","C: 20_3 w3 cis","C: 20_3 w6 cis","C: 20_4 w3","C: 20_4 w6 cis","C: 20_5 w3 cis","C: 21_5 w3","C: 22_0","C: 22_1 w9 cis","C: 22_2 w6 cis","C: 22_5 w3","C: 22_5 w6","C: 22_6 w3 cis","C: 24_0","C: 24_1 w9 cis","C: 4_0","C: 6_0","C: 8_0"
"1",9660640,"FAME02-17-0079","SHIM_4703_B","1.23","0","0","10.547","0","0","0","4.802","0","0.025","0.061","","0","8.617","0","","","0","0.022","0","0.153","0.079","0.018","0.016","0.048","3.713","0","47.037","0.686","0","0.057","0","0.028","46.351","0.029","","0.026","0","18.281","","0","0","0","0","1.533","0","0","0.261","0.209","0.016","0","0.028","0","0.315","0.081","0","0.579","0","0.035","0.022","0","0.384","0.303","0.024","0","0.106","1.323"
"2",9621659,"FAME02-17-0082","SHIM_4703_B","1.271","0","0","10.825","0","0","0","4.876","0","0.026","0.061","0","0","8.598","0","","","0","0.019","0","0.154","0.081","0.018","0.015","0.05","3.696","0","46.676","0.693","0","0.086","0.023","0.032","45.983","0.031","0","0.024","0","18.286","0","0","0","0","0","1.55","0","0","0.25","0.205","0.017","0","0.033","0","0.317","0.088","0","0.555","0","0.033","0.023","0","0.376","0.282","0.025","0","0.113","1.36"
"3",9621693,"FAME02-17-0083","SHIM_4703_B","1.214","0","0","10.771","0","0","0","4.892","0","","","0","0","8.418","0","0.019","0","0","0.019","0","","","0","0","0.043","","0","","0.73","0","0.075","0","0.036","","0.039","0","0.018","0","","0","0","0","0","0","","0","0","0.261","0.214","0.018","0","0.035","0","0.338","","0","0.535","0","0.031","","0","","0.275","0.022","0","","1.33"
"4",9621730,"FAME02-17-0084","SHIM_4703_B","1.41","0","0","11.579","0","0","0","4.985","0","0.027","0.061","0","0","8.481","0","","","0","0.024","0","0.159","0.076","0.017","0.017","0.044","3.581","0","45.953","0.674","0","0.08","0","0.048","45.279","0.032","0","0.023","0","18.124","0","0","0","0","0","1.553","0","0","0.244","0.199","0.015","0","0.03","0","0.312","0.083","0","0.532","0","0.035","0.028","0","0.383","0.269","0.027","0","0.117","1.518"
"5",9627785,"FAME02-17-0085","SHIM_4703_B","1.417","0","0","11.705","0","0","0","5.069","0","0.028","0.064","0","0","8.592","0","0.024","0","0","0.024","0","0.161","0.076","0.017","0","0.043","3.581","0","45.682","0.688","","0.092","0","0.06","44.985","0.032","","0.029","0","18.105","","0","0","0","0","1.552","0","0","0.239","0.197","0.016","0","0.03","0","0.306","0.083","0","0.513","0","0.033","0.024","0","0.368","0.254","0.021","0","0.123","1.535"
"6",9627791,"FAME02-17-0086","SHIM_4703_B","1.316","0","0","11.052","0","0","0","4.935","0","0.028","0.062","0","0","8.694","0","0.022","0","0","0.022","0","0.157","0.081","0.019","0.015","0.044","3.689","0","46.181","0.692","0","0.089","0","0.058","45.489","0.031","0","0.027","0","18.359","0","0","0","0","0","1.571","0","0","0.249","0.207","0.015","0","0.03","0","0.3","0.079","0","0.545","0","0.035","0.024","0","0.366","0.276","0.02","0","0.11","1.403"
"7",9628222,"FAME02-17-0087","SHIM_4703_B","1.44","0","0","11.605","0","0","0","4.952","0","0.026","0.061","","0","8.511","0","","","0","0.023","0","0.157","0.074","0.018","0.014","0.048","3.577","0","45.655","0.683","0","","0","0","44.972","0.032","0","0.028","0","18.209","0","0","0","0","0","1.567","0.096","0","0.241","0.197","0.014","0","0.034","0","0.31","0.084","0","0.528","","0.033","0.024","0","0.367","0.269","0.02","","0.127","1.6"
"8",9632696,"FAME02-17-0088","SHIM_4703_B","1.322","0","0","11.218","0","0","0","4.956","0","0.027","0.06","0","0","8.56","0","","","0","0.022","0","0.158","0.076","0.018","0.016","0.044","","0","46.354","0.683","0","0.079","0","0.049","45.671","0.03","0","0.021","0","18.192","0","0","0","0","0","1.534","0.096","0","0.242","0.201","0","0","0.028","0","0.312","0.081","0","0.535","","0.032","0.023","0","0.374","0.274","0.022","0","0.113","1.42"
"9",9641366,"FAME02-17-0089","SHIM_4703_B","1.302","0","0","11.027","0","0","0","4.907","0","0.025","0.061","0","0","8.517","0","0.024","0","0","","","0.157","0.078","0.017","0.015","0.047","3.668","0","46.626","0.703","0","0.091","0","0.058","45.923","0.033","0","0.025","0","18.167","0","0","0","0","0","1.534","0.096","0","0.241","0.199","0","0","0.031","0","0.302","0.081","0","0.524","","0.033","0.023","0","0.37","0.27","0.022","0","0.111","1.39"
"10",9653728,"FAME02-17-0090","SHIM_4703_B","1.339","0","0","11.263","0","0","0","5.015","0","0.028","0.063","0","0","8.668","0","","0","0","","0","0.158","0.078","0.019","0","0.045","3.68","0","46.101","0.692","0","0.093","0","0.061","45.409","0.032","0","0.027","0","18.151","0","0","0","0","0","1.543","0","0","0.251","0.204","0.017","0","0.033","0","0.317","0.084","0","0.539","0","0.033","0.025","0","0.374","0.28","0.023","0","0.116","1.434"
